codigo,nome,precovenda,preco1,preco2,preco3,precocusto,customedio,estoque,estminimo,unidade,marca,familia,grupo,subgrupo,ncm,gtin,inativo
2890001940010,TORN OLIVEIRA 1167 C-70 BM PAREDE,63,63,61,60,36.26,0,-19,0,UN,,,,,84818011,2890001940010,N
2890001990015,CHAVE PHILIPS 1/4 X 4,12,12,11,11,6.41,0,-5,0,UN,,,,,82054000,2890001990015,N
2890002030017,CHAVE DE FENDA 1/8 X 4,6.5,6.5,0,0,2.85,0,-1,0,UN,,,,,85183000,2890002030017,N
2890002040016,CHAVE DE FENDA 1/8 X 6,7,7,7.5,8,3.73,3.73,0,0,UN,,,,,82054000,2890002040016,N
2890002080012,CHAVE DE FENDA 5/16 X 4,6.5,6.5,0,0,0,0,0,0,UN,,,,,85183000,2890002080012,N
2890002090011,CHAVE DE FENDA 5/16 X 8,6.6,6.6,0,0,0,0,0,0,UN,,,,,85183000,2890002090011,N
2890002120015,CHAVE DE VIRAR FERRO 5/16,28.9,28.9,28,28,12.23,12.23,2,0,UN,,,,,82055900,2890002120015,N
2890002130014,CHAVE DE VIRAR FERRO 3/8,46,46,45,45,22,22.02,1,0,UN,,,,,82055900,2890002130014,N
2890002160011,CHUVEIRO HERC PLAST C/REGISTRO 2320,14,14,14,14,8.62,13.27,52,0,UN,,,,,39229000,2890002160011,N
2890002170010,CHUVEIRO HERC PLAST S/REG 1/2 2318,10.9,10.9,10.5,10.5,6.06,10.22,49,0,UN,,,,,39229000,2890002170010,N
2890002190018,CIMENTO BRANCO CONCREMASSA,5.8,5.8,5.8,5.8,3.73,0,-99,10,UN,,,,,25232100,2890002190018,N
2890002200014,INCENOR 66470,29.99,29.99,0,0,11.2,0,-13.4,0,M2,,,,,69072200,2890002200014,N
2890002210013,COBOGO CIMENTO VENEZIANO 50X25,4,4,0,0,1.7,0,0,0,UN,,,,,85183000,2890002210013,N
2890002240010,COLA BRANCA CASCOREZ 500 GR,22,22,21,21,13,10.38,3,4,UN,,,,,35061010,2890002240010,N
2890002250019,COLA BRANCA CASCOREZ 1 KG,36,36,35,35,22.19,0,-8,2,UN,,,,,35061010,2890002250019,N
2890002310010,COLHER TRAMONTINA PEDREIRO 7,25.9,25.9,25,25,14.79,17.12,7,3,UN,,,,,82055900,2890002310010,N
2890002320019,COLHER DE PEDREIRO PACETA 7,43,43,42,42,26.65,13.58,-1,1,UN,,,,,82159910,2890002320019,N
2890002330018,COLHER DE PEDREIRO PACETA 8,43,43,42,42,25.52,0,-4,1,UN,,,,,82159910,2890002330018,N
2890002340017,COLHER DE PEDREIRO PACETA 9,44,44,43,42,26.45,0,0,1,UN,,,,,82159910,2890002340017,N
2890002350016,COLHER DE PEDREIRO PACETA 10,52.9,52.9,52,52,33.74,24.41,2,1,UN,,,,,82159910,2890002350016,N
2890002360015,CONECTOR P/HASTE TERRA,8.5,8.5,8,8,4.82,2.97,-3,0,UN,,,,,85359090,2890002360015,N
2890002400018,CORDA SEDA 4MM,1.3,1.3,1.4,1.5,0.43,0.44,139,0,UN,,,,,56041000,2890002400018,N
2890002420016,CORRENTE 4MM FINA,14,14,13.5,13,5.78,5.57,16.5,0,UN,,,,,73158200,2890002420016,N
2890002480010,CURVA ESG 40MM,6.2,6.2,6,6,2.3,1.81,-12,6,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890002480010,N
2890002490019,CURVA ESG 75MM,21,21,20,20,0,0,0,3,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890002490019,N
2890002520013,CURVA SOLDAVEL 25MM,4.99,4.99,4.99,4.99,2.05,0,-14,12,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890002520013,N
2890002560019,DESEMPOLADEIRA MADEIRA 17X30,20,20,20,20,11.23,11.23,-4,0,UN,,,,,44170010,2890002560019,N
2890002610011,DISCO LIXA FERRO N-36,6,6,5.8,5.5,2.53,0,-2,0,UN,,,,,68053020,2890002610011,N
2890002720017,DOBRADICA FG 2 CARTELA C/2,7.5,7.5,7,7,3.6,0,-1,0,UN,,,,,83021000,2890002720017,N
2890002730016,DOBRADICA FG 3 X 2 CARTELA C/2,10,10,10,10,5.12,5.12,11,0,UN,,,,,85183000,2890002730016,N
2890002740015,DOBRADICA FLO C/ANEL 3 X 21/2 CART C/3,27.9,27.9,27,27,13.99,0,-19,0,UN,,,,,83021000,2890002740015,N
2890002750014,DOBRADICA FLO C/ANEL 3 1/2 X 2 1/2 CART C/3,28.9,28.9,0,0,13.95,0,-16,0,UN,,,,,85183000,2890002750014,N
2890002760013,DOBRADICA FLO S/ANEL 3 X 2 CART C/3 PBOL,24,24,24,23.5,11.13,0,-3,0,UN,,,,,83021000,2890002760013,N
2890002770012,DOBRADICA FLO C/ANEL 3 X 2 1/2 CART C/2,9,9,0,0,5.23,0,-1,0,UN,,,,,85183000,2890002770012,N
2890002800016,DOBRADICA PAPAIZ LATAO CROMADO 3 1/2 X 3 C/3PECAS,30,30,0,0,10,0,0,0,UN,,,,,85183000,2890002800016,N
2890002820014,DOBRADICA PORTAO LATAO 8,15,15,0,0,0,0,0,0,UN,,,,,85183000,2890002820014,N
2890002840012,DOBRADICA FG 2 1/2 CARTELA C/2,3.5,3.5,0,0,1.93,0,0,0,UN,,,,,85183000,2890002840012,N
2890002880018,DUREPOXI 100G,12.9,12.9,12.9,12.9,7.98,15.25,104,8,UN,,,,,32141010,2890002880018,N
2890002960017,ESCALA MADEIRA 2M BAMBU,6,6,0,0,0,0,0,0,UN,,,,,85183000,2890002960017,N
2890002980015,ESCOVA ACO C/CABO MADEIRA,6,6,5.5,5.5,2.6,0,0,0,UN,,,,,96039000,2890002980015,N
2890002990014,ESPATULA TRAMONTINA INOX C/CABO PLAST 08C,8.9,8.9,8.5,8,4.56,4.55,12,0,UN,,,,,82055900,2890002990014,N
2890003040015,ESPATULA TRAMONTINA INOX C/CABO PLAST 06C,8,8,8,7.5,4.28,4.28,1,0,UN,,,,,82055900,2890003040015,N
2890003050014,ESPATULA TRAMONTINA INOX C/CABO PLAST 10C,8.9,8.9,8.9,8.5,4.92,4.92,11,0,UN,,,,,82055900,2890003050014,N
2890003080011,ESQUADRO MAX CB ALUMINIO 12,25.5,25.5,25,25,15.08,15.08,-1,0,UN,,,,,90172000,2890003080011,N
2890003140012,EXTENSAO DANEVA 3M 3X0,17.7,17.7,0,0,0,0,0,0,UN,,,,,85183000,2890003140012,N
2890003160010,FACAO TRAMONTINA 12,27.9,27.9,27,27,14.86,14.85,1,0,UN,,,,,82014000,2890003160010,N
2890003190017,FACAO TRAMONTINA 18,36.5,36.5,35,35,19.82,0,1,0,UN,,,,,82014000,2890003190017,N
2890003200013,FACAO TRAMONTINA 20,39,39,38,37,21.38,21.38,1,0,UN,,,,,85183000,2890003200013,N
